Name,Country,Position,Age,Overall_Rating,Future Potential,Team,Value Per M$,Total_Stats Score
Keesean Ferdinand,Canada,LWB,18,52,68,CF Montréal,0.19,1321
Jung Won Choi,Korea Republic,CB,25,62,66,Suwon Bluewings,0.5,1534
Tomas Giraldo,Canada,CM,19,48,64,CF Montréal,0.12,1370
Ki Hwan Kim,Korea Republic,CB,22,55,64,Gangwon,0.275,1473
Dae Woo Kim,Korea Republic,CM,21,56,64,Gangwon,0.325,1585
Sang Hyuk Park,Korea Republic,LW,20,56,68,Gangwon,0.35,1401
Hyeon Joon Yang,Korea Republic,ST,20,62,78,Gangwon,1,1606
Nathan-Dylan Saliba,Canada,CM,18,56,71,CF Montréal,0.325,1519
Jordan Perruzza,Canada,RW,21,57,63,Toronto,0.275,1363
Diogo Emanuel Pinto Teixeira,Portugal,CM,21,60,68,Rio Ave,0.55,1581
Mamadi Caba Camará,Guinea Bissau,LM,18,62,77,Reading,0.925,1569
Alex Gilbert,Republic of Ireland,CAM,20,60,71,Brentford,0.55,1483
George Broadbent,England,RWB,21,58,69,Sheffield United,0.45,1594
Zaid Romero,Argentina,LB,22,68,74,Estudiantes,1.8,1577
Max Geschwill,Germany,LB,18,56,70,TSG Hoffenheim,0.325,1391
Arda Özçimen,Turkey,GK,19,62,73,Göztepe,0.75,942
Nanasei Iino,Japan,LM,24,66,69,Sagan Tosu,1.2,1706
Jacob Greene,United States,LWB,19,55,71,DC United,0.325,1432
Anil Aydin,Germany,CAM,20,56,64,Kaiserslautern,0.325,1407
Abbas Al Hassan,Saudi Arabia,CM,18,53,73,Al Fateh,0.25,1444
Brian Oddei,Italy,RM,19,64,78,Sassuolo,1.4,1575
Yasin Davuş,Turkey,GK,25,57,61,Gençlerbirliği,0.18,893
Jesús Piñuelas,Mexico,CB,23,65,71,Atlético San Luis,1,1459
Aristeo García,Mexico,CB,22,58,65,Querétaro,0.375,1328
Joe Gallardo,United States,LM,23,60,65,Querétaro,0.375,1446
José Ramírez,Mexico,ST,20,61,70,Querétaro,0.725,1412
Isaiah Parente,United States,CDM,22,53,61,Columbus Crew,0.21,1428
Daniel López,Mexico,ST,19,56,68,Necaxa,0.35,1365
Joshua Canales,Honduras,CAM,19,54,63,Querétaro,0.23,1496
Ángel García,Mexico,RM,20,58,68,Pumas UNAM,0.45,1458
Nelson Amarilla,Paraguay,CB,34,66,66,Guabirá,0.275,1489
Diego Hoyos,Bolivia,CM,29,65,65,Guabirá,0.7,1782
René Alarcón,Venezuela,RW,29,62,62,Academia Puerto Cabello,0.4,1461
Manuel Monzeglio,Uruguay,CF,20,67,75,Nacional,2.2,1548
Luis Enrique Hurtado,Bolivia,CM,28,64,64,Palmaflor del Trópico,0.6,1763
Fran Supayabe,Bolivia,RB,26,67,68,Guabirá,1.1,1634
Alvyn Antonio Sanches,Portugal,CAM,18,57,73,Lausanne Sport,0.425,1509
Gustavo Peredo,Bolivia,RM,22,66,73,Guabirá,1.7,1716
Jairo Cuéllar,Bolivia,GK,22,65,72,Guabirá,1.2,1001
Takahiro Akimoto,Japan,ST,23,65,69,Urawa Reds,0.95,1874
Yoshio Koizumi,Japan,CM,24,69,73,Urawa Reds,2,1834
Katsunori Ueebisu,Japan,CB,25,63,67,Oita Trinita,0.6,1634
Kenta Fukumori,Japan,LWB,25,62,62,Oita Trinita,0.45,1713
Arata Watanabe,Japan,LM,25,64,66,Oita Trinita,0.75,1803
Ho Gang Han,Korea Republic,RB,28,62,62,Suwon Bluewings,0.35,1497
Daiki Nakashio,Japan,LB,24,60,65,Yokohama,0.325,1493
Diego Gil,Venezuela,GK,20,62,71,Academia Puerto Cabello,0.75,943
Mykola Musolitin,Ukraine,RB,22,58,67,Lechia Gdańsk,0.425,1470
Jan Biegański,Poland,CDM,19,63,76,Lechia Gdańsk,1.1,1623
Modestas Vorobjovas,Lithuania,CM,26,64,67,Chindia Târgovişte,0.7,1718
Roger Junio Rodrigues Figueira,Brazil,LB,26,67,67,UTA Arad,1.1,1775
Haralambie Mociu,Romania,GK,20,54,65,UTA Arad,0.2,862
Momčilo Raspopović,Montenegro,RM,26,63,64,Astra,0.525,1690
Frangoy Zambrano,Ecuador,CDM,24,62,67,Macará,0.6,1690
Joaquín Pucheta,Argentina,GK,29,67,69,Macará,0.85,987
Gerónimo Plada,Uruguay,LM,21,58,70,Wanderers,0.5,1439
Juan Tineo,Venezuela,RB,25,62,67,Academia Puerto Cabello,0.525,1353
Luke Cukar,Australia,GK,18,51,65,Macarthur,0.12,875
Hayato Kurosaki,Japan,RM,23,61,65,Oita Trinita,0.425,1615
Takumi Yamanoi,Japan,GK,22,57,62,Avispa Fukuoka,0.2,1012
Jaden Casella,Australia,RM,20,53,67,Central Coast Mariners,0.23,1370
Akihiro Sato,Japan,ST,34,63,63,Tokushima Vortis,0.23,1649
Philip Mårtensson,Sweden,GK,28,58,59,Varberg BoIS,0.16,985
Noriki Fuke,Japan,LM,23,60,65,Tokushima Vortis,0.35,1554
Adel Berkane,France,LM,20,58,67,Troyes,0.45,1484
Masaaki Murakami,Japan,GK,28,68,68,Avispa Fukuoka,0.85,1056
Takuya Shigehiro,Japan,CM,26,62,63,Avispa Fukuoka,0.475,1622
Yuya Yamagishi,Japan,ST,27,65,65,Avispa Fukuoka,0.775,1559
Boubacar Fall,Senegal,GK,21,62,74,Saint-Étienne,0.85,899
Rubén Manjarrés,Colombia,CM,21,67,76,Junior,2.3,1768
Lisandro Pérez,Venezuela,RW,21,64,74,Academia Puerto Cabello,1.3,1492
Issei Ouchi,Japan,GK,20,58,67,Yokohama,0.375,1030
Francisco Pastor,Spain,ST,26,65,65,The Strongest,0.775,1576
Robert Garcés,Venezuela,CDM,29,66,66,Deportivo Táchira,0.825,1764
Gleider Caro,Venezuela,CB,33,61,61,Academia Puerto Cabello,0.17,1421
Raudy Guerrero,Venezuela,RW,28,65,65,Academia Puerto Cabello,0.725,1617
Yota Maejima,Japan,RM,23,64,69,Avispa Fukuoka,0.825,1734
Bradley Holmes,England,ST,19,54,68,Blackpool,0.25,1302
Saad Al Nasser,Saudi Arabia,CM,21,60,72,Al Taawon,0.6,1506
Enzo López,Uruguay,GK,21,59,70,Wanderers,0.45,872
Luis Rey,Mexico,CB,17,58,74,Mazatlán,0.475,1332
Nobuyuki Abe,Japan,GK,37,58,58,Tokyo,0.025,1015
Konosuke Nishikawa,Japan,GK,18,56,65,Oita Trinita,0.25,954
Ryo Wada,Japan,ST,25,61,64,Brisbane Roar,0.45,1569
Naoto Arai,Japan,LB,24,62,66,Cerezo Osaka,0.525,1514
Masaki Yumiba,Japan,CDM,19,56,68,Oita Trinita,0.325,1500
Daihachi Okamura,Japan,CB,24,63,68,Consadole Sapporo,0.65,1413
Michael Lennon,England,CB,17,51,73,Port Vale,0.18,1309
Subha Ghosh,India,ST,21,51,62,Kerala Blasters,0.13,1347
Daniel Bunk,Germany,CAM,18,55,74,Fortuna Düsseldorf,0.325,1374
Franklin Carabalí,Ecuador,CB,26,66,68,Aucas,0.975,1599
Anthony Olusanya,Finland,LW,22,63,71,HJK,1.1,1521
Jair Tavares da Silva,Brazil,CM,27,65,65,Petrolul 52,0.75,1851
Masaki Watai,Japan,RM,22,65,74,Boavista,1.6,1731
Ken Iwao,Japan,CDM,33,69,69,Urawa Reds,0.7,1829
Lucas Brumme,Germany,LM,22,63,68,Wehen Wiesbaden,0.75,1626
Verthomy Schilo Boboy,Germany,CB,17,53,75,VfL Bochum 1848,0.275,1255
Yudai Konishi,Japan,CDM,23,65,71,Tokushima Vortis,1.1,1798
Kazuki Nishiya,Japan,CAM,27,65,65,Tokushima Vortis,0.75,1709
Patrick Nwadike,Sweden,CB,23,61,66,Sirius,0.45,1474
Mamor Niang,Spain,ST,20,59,74,Getafe,0.55,1353
Noel Milleskog,Sweden,LM,19,53,66,Örebro,0.22,1288
Mergim Krasniqi,Sweden,GK,28,58,60,Örebro,0.17,982
Naoto Kamifukumoto,Japan,GK,31,63,63,Tokushima Vortis,0.25,1173
Taiki Tamukai,Japan,CB,29,63,63,Tokushima Vortis,0.425,1689
Italo Regalado,Peru,RM,27,63,63,Ayacucho,0.5,1683
Freddy Oncoy,Peru,CM,21,64,74,Deportivo Binacional,1.2,1728
José Luján,Peru,CB,25,63,68,Universitario,0.625,1325
Alejandro Ramos,Peru,RB,23,68,74,Melgar,1.8,1603
Hidenori Ishii,Japan,CB,35,61,61,Tokushima Vortis,0.09,1590
Kohei Uchida,Japan,CDM,28,63,64,Tokushima Vortis,0.45,1683
Lucas Rodríguez,Uruguay,CDM,28,64,64,Carlos Manucci,0.575,1738
David Dioses,Peru,CDM,25,66,67,Carlos Manucci,1,1828
Hiroshi Omori,Japan,CB,18,58,71,Tokushima Vortis,0.45,1612
Taiyo Nishino,Japan,LM,18,60,72,Tokushima Vortis,0.575,1563
Naoki Goto,Japan,GK,19,56,71,Tokushima Vortis,0.3,922
Tokuma Suzuki,Japan,CM,24,64,68,Cerezo Osaka,0.775,1775
Shota Fukuoka,Japan,RB,25,64,69,Gamba Osaka,0.775,1679
Chie Edoojon Kawakami,Japan,RB,23,61,67,Tokushima Vortis,0.525,1628
Ogechika Heil,Germany,RW,21,63,68,Hamburger SV,0.75,1632
Ismael Álvarez Lohoba,Spain,RM,21,61,73,Huesca,0.8,1604
Manuel Galán Galán Ubero,Spain,CB,22,59,70,Huesca,0.475,1450
Daisei Suzuki,Japan,CB,25,63,67,Tokushima Vortis,0.6,1575
Oskar Fallenius,Sweden,RW,20,57,69,Djurgården,0.4,1383
Ivan Šaranić,Croatia,CM,18,64,80,Dinamo Zagreb,1.5,1647
Oliver Bacher,Austria,ST,20,57,66,Sturm Graz,0.375,1346
Mamady Diambou,Mali,CDM,19,63,78,Luzern,1.1,1693
Tomás Cavanagh,Argentina,LB,21,63,73,Talleres Córdoba,1,1564
Niko Janković,Croatia,LM,18,61,76,Dinamo Zagreb,0.75,1696
Elvin Ibrisimovic,Austria,ST,21,53,64,Vaduz,0.21,1311
Jannis Lang,Germany,CB,19,61,73,Erzgebirge Aue,0.725,1419
Akira Silvano Disaro,Japan,CF,25,62,65,Shimizu S-Pulse,0.525,1554
Takumi Kato,Japan,CF,21,53,63,Shimizu S-Pulse,0.21,1287
Vladimir Szilágyi,Serbia,CF,28,68,68,Gangwon,1.2,1713
Ziyad Al Jari,Saudi Arabia,CB,20,52,65,Al Fateh,0.18,1200
Héctor Noguera,Venezuela,LB,34,63,63,Academia Puerto Cabello,0.18,1437
Eder González Tortella,Spain,CAM,24,65,68,Sepsi,0.975,1712
Juan Medina,Venezuela,CB,30,67,67,Estudiantes Mérida,0.825,1458
Óscar Conde,Venezuela,CB,19,60,71,Academia Puerto Cabello,0.5,1348
Javier Arape,Venezuela,RB,20,61,73,Academia Puerto Cabello,0.8,1480
José Pinto,Venezuela,CM,24,64,68,Academia Puerto Cabello,0.775,1704
Matías Lacava,Venezuela,CAM,19,68,78,Vizela,2.6,1570
Josh O'Connor,Scotland,ST,17,53,74,Hibernian,0.3,1336
Murray Johnson,Scotland,GK,17,53,73,Hibernian,0.23,873
Robbie Hamilton,Scotland,CM,16,52,71,Hibernian,0.2,1454
Álvaro Quiroga,Bolivia,CM,27,67,68,The Strongest,1.2,1822
Arian Kastrati,Kosovo,ST,18,58,71,Fortuna Sittard,0.475,1405
Linus Rosenlöcher,Germany,LM,21,62,72,Erzgebirge Aue,0.85,1596
Mathis Bruns,Germany,CB,18,57,76,Lecce,0.4,1215
Mattia Pagliuca,Italy,ST,20,60,71,Bologna,0.55,1465
Carlo Adriano García Prades,Spain,CAM,21,66,75,Villarreal II,1.9,1700
Alejandro Millán Iranzo,Spain,RM,22,66,73,Villarreal II,1.8,1609
Simone Rabbi,Italy,ST,20,60,73,SPAL,0.6,1539
Albert González,Venezuela,CB,24,65,70,Metropolitanos,0.975,1492
Luis Andrés González,Venezuela,CDM,29,63,63,Metropolitanos,0.475,1650
Abraham Bahachille,Venezuela,CB,20,63,76,Metropolitanos,1.2,1675
Christian Schiavone,Venezuela,LW,21,62,69,Metropolitanos,0.8,1565
Lucas Jaques Varone Maia,Brazil,LWB,28,67,68,Puebla,0.975,1729
Geykel Parra,Venezuela,GK,20,60,69,Metropolitanos,0.475,989
Jake LaCava,United States,RW,21,57,67,Inter Miami,0.375,1546
Daijiro Chirino,Netherlands,RB,19,60,73,PEC Zwolle,0.55,1476
Shurandy Sambo,Netherlands,RB,20,67,80,Sparta Rotterdam,2.3,1666
Omar Sowe,Gambia,CF,20,55,65,New York RB,0.275,1512
Przemysław Maj,Poland,CAM,19,57,68,Stal Mielec,0.35,1456
Jagvir Singh,Denmark,CAM,20,54,68,Brøndby,0.25,1383
Damián Cáceres Rodríguez,Spain,CDM,18,59,67,Fuenlabrada,0.475,1651
Gurmeet Singh,India,GK,22,55,65,Hyderabad,0.25,860
Britto PM,India,RM,27,54,54,NorthEast United,0.11,1406
Rochharzela Rochharzela,India,CAM,24,54,57,NorthEast United,0.15,1410
Ömürcan Artan,Turkey,RB,22,63,68,Gaziantep F.K.,0.7,1480
Mikkel Brund,Denmark,CB,17,50,67,Randers,0.11,1130
Jonas Langballe,Denmark,GK,16,50,67,Randers,0.1,785
Lauge Sandgrav,Denmark,CM,17,55,78,Lyngby,0.4,1514
Philip Yeboah,Ghana,CF,18,59,75,Hellas Verona,0.575,1526
Wout De Buyser,Belgium,LB,21,56,65,Zulte-Waregem,0.3,1351
Riel Nguen,Norway,LW,18,50,62,Strømsgodset,0.11,1283
Darren Watson,Scotland,ST,18,54,74,Dundee United,0.3,1376
Rhys Caves,Scotland,CDM,17,51,69,Dundee United,0.14,1387
Kerr Smith,Scotland,RB,16,57,83,Dundee United,0.625,1327
Flynn Duffy,Scotland,LB,17,55,72,Dundee United,0.3,1422
Finlay Malcolm,Scotland,ST,16,53,72,Dundee United,0.24,1330
Finn Robson,Scotland,CM,17,51,69,Dundee United,0.15,1437
Julio Báez,Paraguay,CM,21,60,68,Cerro Porteño,0.55,1578
Rodrigo Delvalle,Paraguay,CB,21,62,70,Cerro Porteño,0.825,1295
Wilder Viera,Paraguay,CM,20,63,74,Cerro Porteño,1,1474
Alexis Duarte,Paraguay,CB,22,72,80,Cerro Porteño,4.9,1622
Joel Jiménez,Paraguay,LB,25,64,67,Guaireña,0.725,1463
Enzo Giménez,Paraguay,RB,24,68,71,Cerro Porteño,1.6,1745
Zane Monlouis,England,CB,17,60,75,Arsenal,0.525,1399
Lara Sharma,India,GK,22,53,62,Bengaluru,0.18,836
Roshan Singh,India,LW,23,57,64,Bengaluru,0.3,1588
Ewan Bange,England,ST,19,54,66,Blackpool,0.25,1284
Markus Solbakken,Norway,CDM,21,65,75,Viking,1.6,1778
Sam Sharrock-Peplow,England,LB,18,53,67,Huddersfield Town,0.21,1336
Giosue Bellagambi,Uganda,GK,20,54,66,Salford City,0.23,826
Pat Jones,Wales,RW,19,60,77,Huddersfield Town,0.625,1458
Maxwell Haygarth,England,ST,19,57,71,Brentford,0.4,1446
Loris Mouyokolo,France,CB,21,63,73,Rodez,1,1432
Eden Bailey,England,CAM,17,51,64,Port Vale,0.13,1378
Mustafa Hüseyin Seyhan,Turkey,CDM,24,57,64,Gençlerbirliği,0.3,1516
Siyar Doldur,Switzerland,RM,21,55,63,Sion,0.275,1533
Charlie Wood,England,CAM,18,54,65,Bradford City,0.23,1399
Jae Hyuk Oh,Korea Republic,LW,20,58,70,Jeonbuk Motors,0.5,1512
Bruno Rodrigues,Portugal,CB,21,64,76,Fatih Karagümrük,1.4,1438
Mohamed Bouchouari,Belgium,RM,21,63,72,FC Emmen,1,1612
Tein Troost,Netherlands,GK,20,58,70,Feyenoord,0.425,916
Mory Bamba,Côte d'Ivoire,RW,18,61,81,Roma,0.9,1480
Darío Pereira,Uruguay,RW,25,63,64,Torque,0.575,1608
Jack Stretton,Scotland,ST,20,59,67,Stockport County,0.5,1432
Jesús Daniel Bueno Áñez,Venezuela,CM,23,65,71,Philadelphia Union,1,1698
Jean Franco Castillo,Venezuela,RW,19,65,75,Deportivo Táchira,1.5,1597
Tommy Plumain,France,GK,19,56,72,Châteauroux,0.325,854
Lucas Lykkegaard,Denmark,RB,20,55,68,Nordsjælland,0.3,1425
Cederick Van Daele,Belgium,LB,21,61,71,Gent,0.7,1684
Melker Ellborg,Sweden,GK,19,54,71,Malmö FF,0.25,883
Malte Påhlsson,Sweden,GK,22,57,62,Halmstad,0.2,963
Edvin Kurtulus,Sweden,RB,22,68,75,Hammarby,2.3,1739
Isac Larsson,Sweden,CB,20,53,64,Halmstad,0.19,1274
Erik Ahlstrand,Sweden,CM,19,59,68,Halmstad,0.475,1472
Samuel Kroon,Sweden,RM,24,63,66,Halmstad,0.65,1571
Thomas Boakye,Ghana,RB,28,60,60,Halmstad,0.25,1599
Alexander Johansson,Sweden,ST,21,55,62,Halmstad,0.25,1372
Sadat Karim,Ghana,ST,29,61,61,Halmstad,0.325,1557
David Edvardsson,Sweden,CM,20,56,71,Värnamo,0.35,1596
Noah Eile,Sweden,CB,19,63,78,Mjällby,1.1,1430
Tom Ritchie,Scotland,GK,17,52,71,Aberdeen,0.17,860
Anton Mlinaric,Australia,CB,20,57,67,Brisbane Roar,0.325,1314
Callum Talbot,Australia,LB,21,62,69,Melbourne City,0.775,1602
Marijn Dijkstra,Netherlands,GK,18,54,71,SC Heerenveen,0.24,864
Jackson Conway,United States,ST,20,52,63,Atlanta United,0.18,1285
Saad Balobaid,Saudi Arabia,LB,22,62,71,Al Taawon,0.85,1527
Hamad Al Sayyaf,Saudi Arabia,CB,20,52,62,Al Ettifaq,0.16,1193
Luca Lewis,United States,GK,20,58,71,New York RB,0.425,1084
Abdullah Al Bishi,Saudi Arabia,GK,20,49,62,Al Hilal,0.1,823
Tim Civeja,Germany,CM,20,61,75,Ingolstadt,0.775,1585
Dion Berisha,Kosovo,CAM,18,58,77,FC Augsburg,0.525,1431
David Odumosu,Republic of Ireland,GK,21,58,65,St Patrick's,0.35,1119
Daniel Amador,Mexico,LM,24,64,70,Mazatlán,0.925,1577
Mauro Cardozo,Paraguay,GK,38,67,67,12 de Octubre,0.11,939
Gustavo Navarro,Paraguay,CB,25,66,71,General Caballero JLM,1.1,1372
Víctor Ayala,Paraguay,LM,32,66,66,12 de Octubre,0.6,1517
Marcelo Paredes,Paraguay,CM,29,65,65,Tacuary,0.6,1612
Mateo Gamarra,Paraguay,LB,21,67,75,Olimpia,2.1,1514
Junior Marabel,Paraguay,ST,24,67,72,Unión Santa Fe,1.6,1655
Walter Bogado,Paraguay,LW,22,58,65,River Plate,0.425,1359
Rodolfo Rodríguez,Paraguay,GK,35,62,62,Nacional Asunción,0.045,877
Álex Garcete,Paraguay,CB,27,63,63,River Plate,0.45,1336
Gianlucca Fatecha,Paraguay,ST,24,64,69,Cienciano,0.875,1632
Víctor Barrios,Paraguay,RB,24,63,64,Guaireña,0.55,1463
Jesús Araujo,Paraguay,RM,28,65,65,12 de Octubre,0.725,1552
Derlis Martínez,Paraguay,LM,22,62,71,General Caballero JLM,0.9,1509
Freddy Vargas,Venezuela,RM,23,67,73,Metropolitanos,1.6,1743
Maarten Schut,Netherlands,GK,17,54,69,Willem II,0.21,875
Ole Erik Midtskogen,Norway,ST,27,60,60,Odd,0.275,1506
Carlos Vivas,Venezuela,RB,20,67,77,Deportivo Táchira,2.1,1417
Emmanuel Gyabuaa,Italy,CM,18,61,74,Atalanta,0.75,1685
Naicol Contreras,Venezuela,LM,21,62,72,Deportivo Táchira,0.85,1467
Cristopher Rodríguez,Venezuela,CB,24,67,69,Monagas,1.2,1655
Telasco Segovia,Venezuela,CDM,19,61,74,Sampdoria,0.775,1601
Cristian Cruz,Venezuela,RW,20,61,71,Deportivo Táchira,0.725,1632
Jean Paul Madera,Venezuela,LB,23,59,64,Deportivo Táchira,0.325,1621
Bryan Castillo,Venezuela,ST,21,63,69,Deportivo Táchira,0.775,1493
Gonzalo Torres,Argentina,LM,22,61,69,Central Cordoba SdE,0.75,1491
Alejo Tabares,Argentina,CB,20,60,72,Lanús,0.575,1420
Guillermo Marín,Venezuela,CM,20,62,75,Deportivo La Guaira,0.95,1665
Reiss Chandler,England,RB,17,51,68,Southend United,0.14,1329
Lucas Morales,Uruguay,CB,27,66,66,Torque,0.825,1582
Darluis Paz,Venezuela,RW,20,63,71,Deportivo La Guaira,1.1,1675
Mauro Méndez,Uruguay,CAM,23,69,75,Estudiantes,2.2,1706
Mauro Silveira,Uruguay,GK,22,67,76,Wanderers,2,1083
Rommell Ibarra,Venezuela,RB,22,63,71,Deportivo La Guaira,1,1719
Clyde García,Venezuela,CM,20,62,72,Deportivo La Guaira,0.825,1583
Darwin Torres,Uruguay,CB,31,65,65,9 de Octubre,0.5,1494
Diego Hernández,Uruguay,LM,22,67,74,Wanderers,2.1,1778
Omar Khailoti,Italy,CB,18,59,71,Bologna,0.5,1398
Erik Stavås Skistad,Norway,CM,20,54,66,Mjøndalen,0.25,1474
Bohdan Viunnyk,Ukraine,ST,20,62,78,Shakhtar Donetsk,1.1,1500
Sören Ahlers,Germany,GK,24,59,64,St. Pauli,0.275,868
Jean Humanante,Ecuador,CB,25,64,70,Guayaquil City,0.825,1555
Flavio Caicedo,Ecuador,CDM,33,63,63,Guayaquil City,0.24,1521
Kevin Sambonino,Ecuador,CDM,21,65,75,Guayaquil City,1.5,1599
Gonzalo Valle,Ecuador,GK,25,66,70,Guayaquil City,0.925,966
Luis Cano,Ecuador,LM,22,66,74,Aucas,1.9,1672
Jairo Jiménez,Ecuador,RB,26,62,67,Guayaquil City,0.525,1362
Willian Vargas,Ecuador,RWB,25,64,67,Independiente del Valle,0.775,1630
Kevin Becerra,Ecuador,CB,26,66,69,9 de Octubre,1,1446
Clement Couturier,France,LM,26,59,59,Argeş,0.25,1562
Jeffrey Gal,United States,GK,29,63,64,Chicago Fire,0.375,936
Daniel Janevski,Sweden,CB,28,57,57,Mjøndalen,0.14,1264
Ismael Diawara,Mali,GK,27,68,71,Malmö FF,1.2,986
Oliver Ekroth,Sweden,CB,29,64,65,Degerfors,0.55,1423
Axel Lindahl,Sweden,RWB,27,62,62,Kalmar,0.375,1649
Villiam Dahlström,Sweden,LW,24,60,64,Degerfors,0.35,1421
Adam Carlén,Sweden,CDM,22,63,71,IFK Göteborg,1.1,1669
Takuto Minami,Japan,LM,19,56,68,Yokohama F. Marinos,0.35,1379
Sam Bell,England,LM,20,61,72,Bristol City,0.725,1495
Cristopher Fiermarin,Uruguay,GK,22,69,78,Torque,2.7,1013
Franco Pizzichillo,Uruguay,CM,25,67,70,Santos Laguna,1.2,1517
José Álvarez,Uruguay,LB,27,67,67,Banfield,1.1,1707
Diego Méndez,Bolivia,GK,31,64,64,Royal Pari,0.3,1050
Harry Céspedes,Bolivia,LB,24,66,71,Guabirá,1.2,1686
David Ribera,Bolivia,RW,21,65,73,Royal Pari,1.6,1614
Jorge Araúz,Bolivia,GK,27,65,67,Royal Pari,0.65,944
Efraín Morales,Bolivia,CB,18,54,77,Atlanta United,0.325,1232
Ángel Zamudio,Peru,GK,24,65,72,Sport Huancayo,1.2,922
Jesús Mendieta,Peru,CB,24,65,69,Ayacucho,0.95,1513
Jorge Murrugarra,Peru,CM,25,67,72,Universitario,1.4,1638
Robert Ardiles,Peru,CM,34,67,67,Ayacucho,0.475,1652
Andy Vidal,Peru,GK,27,68,70,Ayacucho,1.1,936
Joao Villamarín,Peru,RW,29,67,67,Universitario,1,1742
Álvaro Brun,Uruguay,CDM,34,68,68,Torque,0.55,1708
Fabio Rojas,Peru,RB,22,65,70,Alianza Lima,1,1381
Santiago Scotto,Uruguay,CDM,25,64,67,Defensor Sporting,0.775,1740
Pedro Siles,Bolivia,CM,29,66,66,Blooming,0.725,1734
Luciano Ursino,Bolivia,CM,33,69,69,The Strongest,0.875,1827
Gustavo Del Prete,Argentina,LM,25,73,77,Estudiantes,4.3,1734
Layonel Figueroa,Bolivia,CDM,22,65,72,Guabirá,1.4,1737
Lucas Rodríguez,Uruguay,LW,24,64,67,Atlas,0.8,1450
Walter Antelo,Bolivia,CB,21,63,70,Guabirá,0.9,1406
Leandro Otormín,Uruguay,CAM,25,68,71,Liverpool,1.6,1709
Ignacio Neira,Uruguay,CM,23,61,67,Torque,0.525,1513
Natanael Guzmán,Argentina,RM,21,61,70,Torque,0.725,1407
Mubaarak Nuh,Sweden,RM,19,55,72,Malmö FF,0.325,1444
Pietro Boer,Italy,GK,20,60,73,Roma,0.525,850
Ricardo Lagos,Peru,LM,26,69,70,Alianza Lima,1.5,1753
Jan Quispel,Netherlands,CM,18,59,74,PEC Zwolle,0.525,1594
Relly Fernández,Peru,LW,23,66,71,Carlos Manucci,1.3,1595
Osnar Noronha,Peru,ST,30,66,66,César Vallejo,0.85,1525
Pedro Díaz,Peru,GK,23,61,66,Carlos Manucci,0.4,923
Luis Benítes,Peru,RB,24,63,66,Sport Huancayo,0.65,1460
Jean Fuentes,Peru,CDM,29,66,66,Carlos Manucci,0.725,1670
Sebastian Rojas,Peru,GK,21,61,66,Carlos Manucci,0.4,894
Federico Vera,Argentina,RWB,24,68,73,Unión Santa Fe,1.7,1706
Lucas Esquivel,Argentina,LWB,20,68,77,Unión Santa Fe,2.5,1814
Kevin Zenón,Argentina,CM,20,70,76,Unión Santa Fe,2.5,1786
Imanol Machuca,Argentina,RW,22,72,78,Unión Santa Fe,3.8,1825
Juan Espitia,Colombia,GK,22,63,73,Santa Fe,0.925,938
Jersson González,Colombia,RW,20,65,74,Santa Fe,1.6,1664
Ronaldo Arancibia,Bolivia,RM,21,62,70,Palmaflor del Trópico,0.85,1667
Raúl Balderrama,Bolivia,RW,26,67,68,Palmaflor del Trópico,1.2,1619
Adalid Terrazas,Bolivia,RM,21,65,69,Always Ready,1,1767
Luis Jaldín,Bolivia,RB,31,67,67,Palmaflor del Trópico,0.75,1605
Josué Estrada,Peru,RM,25,71,74,Cienciano,2.3,1788
Youssouf Assogba,Benin,RM,20,59,72,Amiens SC,0.525,1462
Sandro Schendl,Austria,CM,19,58,71,Sturm Graz,0.475,1590
Joiner Moreno,Colombia,RW,21,62,72,La Equidad,0.9,1595
Andrés Felipe Pérez,Colombia,GK,23,62,72,La Equidad,0.775,948
Esteban Obregón,Argentina,CAM,19,61,74,Estudiantes,0.775,1552
Jenry Alaca,Bolivia,LB,34,66,66,Independiente Petrolero,0.325,1519
Bismark Ubah,Nigeria,ST,26,65,65,Palmaflor del Trópico,0.8,1631
Iván Huayhuata,Bolivia,CAM,33,66,66,Guabirá,0.525,1740
Adrián Gutiérrez,Peru,CB,21,65,74,UTC Cajamarca,1.5,1531
Fernando Mora,Ecuador,LM,25,64,69,Macará,0.8,1601
Ángel Viotti,Argentina,RM,25,64,65,Aucas,0.65,1487
Jhon Santacruz,Ecuador,ST,24,63,67,Mushuc Runa,0.7,1505
Pablo Mancilla,Ecuador,RB,28,63,63,Macará,0.475,1457
Arón Rodríguez,Ecuador,RW,22,70,76,Universidad Católica,2.6,1684
José Rugel,Peru,RB,20,60,70,Universitario,0.5,1336
Junior Huerto,Peru,LB,23,61,68,Sporting Cristal,0.625,1491
Gabriel Villamíl,Bolivia,RWB,21,65,74,Bolívar,1.6,1725
Robson Leandro Dos Santos,Brazil,CB,29,66,66,Wilstermann,0.75,1601
Mario Santilli,Argentina,GK,37,66,66,Deportivo La Guaira,0.09,1116
Francisco La Mantía,Venezuela,CDM,26,67,71,Deportivo La Guaira,1.3,1726
Jon Aramburu,Venezuela,CB,18,65,80,Deportivo La Guaira,1.6,1684
Yohán Cumaná,Venezuela,LW,26,69,72,Deportivo La Guaira,1.7,1917
Jakob Vadstrup,Denmark,LB,16,50,67,Lyngby,0.11,1294
